tier,category,year,title,authors,publication_status,journal_reference,doi,arxiv_id,arxiv_version,primary_arxiv_category,citation_count,citation_count_without_self_citations,citation_source,citation_as_of,inspire_recid,workhouse_connection,landing_url,pdf_url,local_file,downloaded,pages,sha256,published,updated,abstract
core,spectrum,2021,"SU(N) gauge theories in 3+1 dimensions: glueball spectrum, string tensions and topology",Andreas Athenodorou; Michael Teper,journal/proceedings record,JHEP 12 (2021) 082,10.1007/JHEP12(2021)082,2106.00364,2106.00364v3,hep-lat,115,108,INSPIRE,2026-08-21,1866413,modern continuum and large-N SU(N) spectrum,https://arxiv.org/abs/2106.00364v3,https://arxiv.org/pdf/2106.00364v3,papers/core_cited_and_canonical/01_glueball_spectrum/2021_Athenodorou_2106.00364.pdf,True,122,db804eb9c28465fd2bf3294ac041558fcfc12f25af2424aa2aba075f3e0e214f,2021-06-01,2021-12-10,"We calculate the low-lying glueball spectrum, some string tensions and some properties of topology and the running coupling for SU(N) lattice gauge theories in 3+1 dimensions. We do so for N = 2,3,...12, using lattice simulations with the Wilson plaquette action, and for glueball states in all the representations of the cubic rotation group, for both values of parity and charge conjugation. We extrapolate these results to the continuum limit of each theory and then to N=infinity. For a number of these states we are able to identify their continuum spins with very little ambiguity. We calculate the fundamental string tension and k=2 string tension and investigate the N dependence of the ratio. Using the string tension as the scale, we calculate the running of a lattice coupling and confirm that g(a)**2 varies as 1/N for constant physics as N->oo. We fit our calculated values of the string tension with the 3-loop beta-function, and extract a value for Lambda-MSbar, in units of the string tension, for all our values of N, including SU(3). We calculate the topological charge Q for N=2,..,6 where it fluctuates sufficiently for a plausible estimate of the continuum topological susceptibility. We also calculate the renormalisation of the lattice topological charge, ZQ(beta), for all our SU(N) gauge theories, using a standard definition of the charge, and we provide interpolating formulae, which may be useful in estimating the renormalisation of the lattice theta parameter. We provide quantitative results for how the topological charge `freezes' with decreasing lattice spacing and with increasing N, and show how we cicumvent this issue in our calculations."
core,effective_hamiltonian,2021,The Feshbach-Schur map and perturbation theory,Geneviève Dusson; Israel Sigal; Benjamin Stamm,preprint or unlinked proceedings,,,2105.02058,2105.02058v1,math-ph,2,,OpenAlex,2026-08-21,,explicit Feshbach-Schur perturbation estimates,https://arxiv.org/abs/2105.02058v1,https://arxiv.org/pdf/2105.02058v1,papers/core_cited_and_canonical/06_effective_hamiltonians/2021_Dusson_2105.02058.pdf,True,25,ed9cfc6375fee29e14c8d39c67032c38e80d41b46fbe8fb050c68381e1f16c85,2021-05-05,2021-05-05,"This paper deals with perturbation theory for discrete spectra of linear operators. To simplify exposition we consider here self-adjoint operators. This theory is based on the Feshbach-Schur map and it has advantages with respect to the standard perturbation theory in three aspects: (a) it readily produces rigorous estimates on eigenvalues and eigenfunctions with explicit constants; (b) it is compact and elementary (it uses properties of norms and the fundamental theorem of algebra about solutions of polynomial equations); and (c) it is based on a self-contained formulation of a fixed point problem for the eigenvalues and eigenfunctions, allowing for easy iterations. We apply our abstract results to obtain rigorous bounds on the ground states of Helium-type ions."
core,weingarten,2021,The Weingarten Calculus,Benoit Collins; Sho Matsumoto; Jonathan Novak,journal/proceedings record,"NOTICES OF THE AMERICAN MATHEMATICAL SOCIETY (2022) 69, no. 5",10.1090/noti2474,2109.14890,2109.14890v1,math-ph,74,73,INSPIRE,2026-08-21,1936115,modern Weingarten-calculus review with lattice-gauge application,https://arxiv.org/abs/2109.14890v1,https://arxiv.org/pdf/2109.14890v1,papers/core_cited_and_canonical/05_haar_and_weingarten/2021_Collins_2109.14890.pdf,True,15,fb0c444738acc79e7b0e12ad00914781feb445f05ee5d94c35c19826adb868c1,2021-09-30,2021-09-30,This is a short introduction to Weingarten Calculus. Weingarten Calculus is a method to compute the joint moments of matrix variables distributed according to the Haar measure of compact groups.
core,weingarten,2021,Weingarten Calculus,Georg Köstenberger,preprint or unlinked proceedings,,,2101.00921,2101.00921v2,math.PR,,,OpenAlex,2026-08-21,,comprehensive Weingarten-calculus survey,https://arxiv.org/abs/2101.00921v2,https://arxiv.org/pdf/2101.00921v2,papers/core_cited_and_canonical/05_haar_and_weingarten/2021_Kostenberger_2101.00921.pdf,True,53,075726f717f5fb08453de1cd3e9b40b0e91b1b455ec103b9e523cb2f8daa74cc,2021-01-04,2021-02-26,"We consider the problem of computing the integral $$ \int_{\mathcal{U}(d)} u_{i_1j_1}\cdots u_{i_nj_n} \bar{u}_{i'_1j'_1} \cdots \bar{u}_{i'_{n'}j'_{n'}} dU, $$ where the integration takes place with respect to the probability Haar measure on the unitary group $\mathcal{U}(d)$, and the $u_{ij}$ denotes the $ij$-th entry of a unitary matrix $U$. We present a unified approach connecting classical results, the explicit formula for the integral given by B. Collins and P. Sniady and subsequent works of various authors providing different points of view. Finally we are able to provide an explicit formula for the $2n$-th moment of the trace of a unitary Haar random matrix, generalizing a result of P. Diaconis."
core,rigorous_lgt,2020,A probabilistic mechanism for quark confinement,Sourav Chatterjee,journal/proceedings record,Commun.Math.Phys. 385 (2021) 1007,10.1007/s00220-021-04086-y,2006.16229,2006.16229v5,math.PR,24,24,INSPIRE,2026-08-21,1803556,probabilistic confinement mechanism,https://arxiv.org/abs/2006.16229v5,https://arxiv.org/pdf/2006.16229v5,papers/core_cited_and_canonical/04_rigorous_lattice_yang_mills/2020_Chatterjee_2006.16229.pdf,True,35,34c1e44bf9ca8374103e87a7870557fcc16b7a40e112b90cc9a1e08073d60e4b,2020-06-29,2021-03-26,"The confinement of quarks is one of the enduring mysteries of modern physics. There is a longstanding physics heuristic that confinement is a consequence of `unbroken center symmetry'. This article gives mathematical confirmation of this heuristic, by rigorously defining of center symmetry in lattice gauge theories and proving that a theory is confining when center symmetry is unbroken. Furthermore, a sufficient condition for unbroken center symmetry is given: It is shown that if the center of the gauge group is nontrivial, and correlations decay exponentially under arbitrary boundary conditions, then center symmetry does not break."
core,spectrum,2020,Color dependence of tensor and scalar glueball masses in Yang-Mills theories,Ed Bennett; Jack Holligan; Deog Ki Hong; Jong-Wan Lee; C. -J. David Lin; Biagio Lucini; Maurizio Piai; Davide Vadacchino,journal/proceedings record,"Phys. Rev. D 102, 011501 (2020)",10.1103/PhysRevD.102.011501,2004.11063,2004.11063v2,hep-lat,54,22,INSPIRE,2026-08-21,1792387,color dependence of scalar and tensor glueballs,https://arxiv.org/abs/2004.11063v2,https://arxiv.org/pdf/2004.11063v2,papers/core_cited_and_canonical/01_glueball_spectrum/2020_Bennett_2004.11063.pdf,True,6,da996793fa61a933c462790daa697e4343c094d6d104342c3f0a7b9f68ca9bba,2020-04-23,2020-07-16,"We report the masses of the lightest spin-0 and spin-2 glueballs obtained in an extensive lattice study of the continuum and infinite volume limits of $Sp(N_c)$ gauge theories for $N_c=2,4,6,8$. We also extrapolate the combined results towards the large-$N_c$ limit. We compute the ratio of scalar and tensor masses, and observe evidence that this ratio is independent of $N_{c}$. Other lattice studies of Yang-Mills theories at the same space-time dimension provide a compatible ratio. We further compare these results to various analytical ones and discuss them in view of symmetry-based arguments related to the breaking of scale invariance in the underlying dynamics, showing that a constant ratio might emerge in a scenario in which the $0^{++}$ glueball is interpreted as a dilaton state."
core,spectrum,2020,Glueballs and Strings in $Sp(2N)$ Yang-Mills theories,Ed Bennett; Jack Holligan; Deog Ki Hong; Jong-Wan Lee; C. -J. David Lin; Biagio Lucini; Maurizio Piai; Davide Vadacchino,journal/proceedings record,"Phys. Rev. D 103, 054509 (2021)",10.1103/PhysRevD.103.054509,2010.15781,2010.15781v3,hep-lat,54,18,INSPIRE,2026-08-21,1826768,comparative Sp(2N) continuum glueball and string spectrum,https://arxiv.org/abs/2010.15781v3,https://arxiv.org/pdf/2010.15781v3,papers/core_cited_and_canonical/01_glueball_spectrum/2020_Bennett_2010.15781.pdf,True,42,1b19f89bf0ab083ec09b72c80974cb02e8a26455becb996ebf38158e26237abb,2020-10-29,2021-03-23,"Motivated in part by the pseudo-Nambu Goldstone Boson mechanism of electroweak symmetry breaking in Composite Higgs Models, in part by dark matter scenarios with strongly coupled origin, as well as by general theoretical considerations related to the large-N extrapolation, we perform lattice studies of the Yang-Mills theories with $Sp(2N)$ gauge groups. We measure the string tension and the mass spectrum of glueballs, extracted from appropriate 2-point correlation functions of operators organised as irreducible representations of the octahedral symmetry group. We perform the continuum extrapolation and study the magnitude of finite-size effects, showing that they are negligible in our calculation. We present new numerical results for $N=1$, $2$, $3$, $4$, combine them with data previously obtained for $N=2$, and extrapolate towards $N\rightarrow \infty$. We confirm explicitly the expectation that, as already known for $N=1,2$ also for $N=3,4$ a confining potential rising linearly with the distance binds a static quark to its antiquark. We compare our results to the existing literature on other gauge groups, with particular attention devoted to the large-$N$ limit. We find agreement with the known values of the mass of the $0^{++}$, $0^{++*}$ and $2^{++}$ glueballs obtained taking the large-$N$ limit in the $SU(N)$ groups. In addition, we determine for the first time the mass of some heavier glueball states at finite $N$ in $Sp(2N)$ and extrapolate the results towards $N \rightarrow +\infty$ taking the limit in the latter groups. Since the large-$N$ limit of $Sp(2N)$ is the same as in $SU(N)$, our results are relevant also for the study of QCD-like theories."
core,spectrum,2020,The glueball spectrum of SU(3) gauge theory in 3+1 dimension,Andreas Athenodorou; Michael Teper,journal/proceedings record,JHEP 11 (2020) 172,10.1007/JHEP11(2020)172,2007.06422,2007.06422v2,hep-lat,184,175,INSPIRE,2026-08-21,1806671,modern continuum SU(3) spectrum in 3+1 dimensions,https://arxiv.org/abs/2007.06422v2,https://arxiv.org/pdf/2007.06422v2,papers/core_cited_and_canonical/01_glueball_spectrum/2020_Athenodorou_2007.06422.pdf,True,75,f0eb6406bf49a00d376c0be25917173426c826050046a1bf0f32987895de23d0,2020-07-13,2020-10-20,"We calculate the low-lying glueball spectrum of the SU(3) lattice gauge theory in 3+1 dimensions for the range of beta up to beta=6.50 using the standard plaquette action. We do so for states in all the representations R of the cubic rotation group, and for both values of parity P and charge conjugation C. We extrapolate these results to the continuum limit of the theory using the confining string tension as our energy scale. We also present our results in units of the r0 scale and, from that, in terms of physical `GeV' units. For a number of these states we are able to identify their continuum spins J with very little ambiguity. We also calculate the topological charge Q of the lattice gauge fields so as to show that we have sufficient ergodicity throughout our range of beta, and we calculate the multiplicative renormalisation of Q as a function of beta. We also obtain the continuum limit of the SU(3) topological susceptibility."
core,flat_bands,2019,"Line-Graph Lattices: Euclidean and Non-Euclidean Flat Bands, and Implementations in Circuit Quantum Electrodynamics",Alicia J. Kollár; Mattias Fitzpatrick; Peter Sarnak; Andrew A. Houck,journal/proceedings record,,10.1007/s00220-019-03645-8,1902.02794,1902.02794v2,quant-ph,50,44,INSPIRE,2026-08-21,3051060,line-graph lattices and homological flat bands,https://arxiv.org/abs/1902.02794v2,https://arxiv.org/pdf/1902.02794v2,papers/core_cited_and_canonical/09_flat_bands_and_homological_topology/2019_Kollar_1902.02794.pdf,True,40,b9e4efabbac9e3e35c7e20214056a9df5eb5623bb220c10cfc553c2897afbf64,2019-02-07,2019-03-08,"Materials science and the study of the electronic properties of solids are a major field of interest in both physics and engineering. The starting point for all such calculations is single-electron, or non-interacting, band structure calculations, and in the limit of strong on-site confinement this can be reduced to graph-like tight-binding models. In this context, both mathematicians and physicists have developed largely independent methods for solving these models. In this paper we will combine and present results from both fields. In particular, we will discuss a class of lattices which can be realized as line graphs of other lattices, both in Euclidean and hyperbolic space. These lattices display highly unusual features including flat bands and localized eigenstates of compact support. We will use the methods of both fields to show how these properties arise and systems for classifying the phenomenology of these lattices, as well as criteria for maximizing the gaps. Furthermore, we will present a particular hardware implementation using superconducting coplanar waveguide resonators that can realize a wide variety of these lattices in both non-interacting and interacting form."
core,flat_bands,2018,Artificial flat band systems: from lattice models to experiments,Daniel Leykam; Alexei Andreanov; Sergej Flach,journal/proceedings record,"Adv. Phys.: X 3, 1473052 (2018)",10.1080/23746149.2018.1473052,1801.09378,1801.09378v3,cond-mat.mes-hall,161,150,INSPIRE,2026-08-21,3042174,highly cited flat-band systems review,https://arxiv.org/abs/1801.09378v3,https://arxiv.org/pdf/1801.09378v3,papers/core_cited_and_canonical/09_flat_bands_and_homological_topology/2018_Leykam_1801.09378.pdf,True,14,c761cc073050c5dd5d4c28478db3f256d92716bcf6c3571e9f074e1e453a17a9,2018-01-29,2018-05-08,"Certain lattice wave systems in translationally invariant settings have one or more spectral bands that are strictly flat or independent of momentum in the tight binding approximation, arising from either internal symmetries or fine-tuned coupling. These flat bands display remarkable strongly-interacting phases of matter. Originally considered as a theoretical convenience useful for obtaining exact analytical solutions of ferromagnetism, flat bands have now been observed in a variety of settings, ranging from electronic systems to ultracold atomic gases and photonic devices. Here we review the design and implementation of flat bands and chart future directions of this exciting field."
